,USDCNY_pnl,USDBRL_pnl,USDZAR_pnl,USDRUB_pnl,EURUSD_pnl,USDJPY_pnl,USDMXN_pnl,USDCAD_pnl,Total_pnl
2019-07-01,-11553.799348657878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11553.799348657878
2019-08-01,4865.040065795097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4865.040065795097
2019-08-30,76227.16454379483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76227.16454379483
2019-10-01,-11545.536596789503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11545.536596789503
2019-11-01,-11447.138299457149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11447.138299457149
2019-11-29,-10960.351375567121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10960.351375567121
2020-01-01,0.0,0.0,0.0,0.0,0.0,-11082.845556916758,0.0,0.0,-11082.845556916758
2020-01-31,0.0,0.0,0.0,0.0,-11562.514663336762,0.0,0.0,0.0,-11562.514663336762
2020-02-28,0.0,31066.24139197132,0.0,0.0,0.0,0.0,0.0,0.0,31066.24139197132
2020-04-01,0.0,85226.59250685683,0.0,0.0,0.0,0.0,0.0,0.0,85226.59250685683
2020-05-01,0.0,5880.137049459692,0.0,0.0,0.0,0.0,0.0,0.0,5880.137049459692
2020-06-01,0.0,0.0,0.0,0.0,6372.796178597778,0.0,0.0,0.0,6372.796178597778
2020-07-01,-10135.695681180838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10135.695681180838
2020-07-31,0.0,0.0,0.0,0.0,41792.83775455476,0.0,0.0,0.0,41792.83775455476
2020-09-01,0.0,0.0,0.0,0.0,3458.099252912003,0.0,0.0,0.0,3458.099252912003
2020-10-01,0.0,0.0,0.0,0.0,-10256.16003190122,0.0,0.0,0.0,-10256.16003190122
2020-10-30,0.0,0.0,0.0,0.0,-10098.737211455138,0.0,0.0,0.0,-10098.737211455138
2020-12-01,0.0,0.0,0.0,-9852.24602580419,0.0,0.0,0.0,0.0,-9852.24602580419
2021-01-01,0.0,0.0,0.0,0.0,4248.737156637288,0.0,0.0,0.0,4248.737156637288
2021-02-01,0.0,0.0,0.0,0.0,-10160.225698484319,0.0,0.0,0.0,-10160.225698484319
2021-03-01,0.0,0.0,0.0,0.0,-9265.145890868886,0.0,0.0,0.0,-9265.145890868886
2021-04-01,0.0,0.0,0.0,0.0,0.0,32698.235576529507,0.0,0.0,32698.235576529507
2021-04-30,0.0,0.0,0.0,0.0,0.0,-9803.111158421907,0.0,0.0,-9803.111158421907
2021-06-01,0.0,0.0,0.0,0.0,0.0,-2842.7974814558274,0.0,0.0,-2842.7974814558274
