Date,USDCNY_theta,USDBRL_theta,USDZAR_theta,USDRUB_theta,EURUSD_theta,USDJPY_theta,USDMXN_theta,USDCAD_theta,Total_theta
2017-05-26,0,0,0,0,0,0,0,131.3521353,131.3521353
2017-05-29,0,0,0,0,0,0,0,42.14238903,42.14238903
2017-05-30,0,0,0,0,0,0,0,15.6995959,15.6995959
2017-05-31,0,0,0,0,0,0,0,12.63276373,12.63276373
2017-06-01,0,0,0,0,-1987.654762,0,0,0,-1987.654762
2017-06-02,0,0,0,0,-1821.003145,0,0,0,-1821.003145
2017-06-05,0,0,0,0,-1798.902911,0,0,0,-1798.902911
2017-06-06,0,0,0,0,-1703.873735,0,0,0,-1703.873735
2017-06-07,0,0,0,0,-1730.445388,0,0,0,-1730.445388
2017-06-08,0,0,0,0,-1757.619795,0,0,0,-1757.619795
2017-06-09,0,0,0,0,-1727.255748,0,0,0,-1727.255748
2017-06-12,0,0,0,0,-1611.373581,0,0,0,-1611.373581
2017-06-13,0,0,0,0,-1565.074604,0,0,0,-1565.074604
2017-06-14,0,0,0,0,-1512.807162,0,0,0,-1512.807162
2017-06-15,0,0,0,0,-1381.054388,0,0,0,-1381.054388
2017-06-16,0,0,0,0,-1437.007116,0,0,0,-1437.007116
2017-06-19,0,0,0,0,-1156.195027,0,0,0,-1156.195027
2017-06-20,0,0,0,0,-1017.697297,0,0,0,-1017.697297
2017-06-21,0,0,0,0,-1107.227335,0,0,0,-1107.227335
2017-06-22,0,0,0,0,-969.5022294,0,0,0,-969.5022294
2017-06-23,0,0,0,0,-1034.53172,0,0,0,-1034.53172
2017-06-26,0,0,0,0,-759.4527023,0,0,0,-759.4527023
2017-06-27,0,0,0,0,-69.21148125,0,0,0,-69.21148125
2017-06-28,0,0,0,0,-8.358486628,0,0,0,-8.358486628
2017-06-29,0,0,0,0,-0.000169194,0,0,0,-0.000169194
2017-06-30,0,0,0,0,0,0,0,0,0
2017-07-03,0,0,0,0,-2182.46511,0,0,0,-2182.46511
2017-07-04,0,0,0,0,-2094.503592,0,0,0,-2094.503592
2017-07-05,0,0,0,0,-2059.47623,0,0,0,-2059.47623
2017-07-06,0,0,0,0,-1897.004267,0,0,0,-1897.004267
2017-07-07,0,0,0,0,-1927.605083,0,0,0,-1927.605083
2017-07-10,0,0,0,0,-1804.96064,0,0,0,-1804.96064
2017-07-11,0,0,0,0,-1476.255278,0,0,0,-1476.255278
2017-07-12,0,0,0,0,-1690.060912,0,0,0,-1690.060912
2017-07-13,0,0,0,0,-1708.371801,0,0,0,-1708.371801
2017-07-14,0,0,0,0,-1371.441862,0,0,0,-1371.441862
2017-07-17,0,0,0,0,-1176.050079,0,0,0,-1176.050079
2017-07-18,0,0,0,0,-828.4002048,0,0,0,-828.4002048
2017-07-19,0,0,0,0,-966.3748619,0,0,0,-966.3748619
2017-07-20,0,0,0,0,-344.8981673,0,0,0,-344.8981673
2017-07-21,0,0,0,0,-133.7430014,0,0,0,-133.7430014
2017-07-24,0,0,0,0,-64.48117978,0,0,0,-64.48117978
2017-07-25,0,0,0,0,-56.50769825,0,0,0,-56.50769825
