Date,URTH,VEA ,SPDW,IDEV,GSIE ,IVLU,IGOV,GWX,IVV,VTV,VUG,IWM,VO,VCIT,BOND,FBND,GTO,BNDW,FDHY,BGRN ,VGK,BBEU,IEUR,FEZ,IEUS,IAU,SLV,GLD,VT,ICLN,ACWV,IXN ,XT,REET,IOO,IGF,IXJ,IXG,ROBO,IXC,VWO,IEMG,EEM,EMB,EWT,MCHI,EWZ,SPEM,INDA,EMLC,VWOB,PCY,ILF,EWW,EEMA,DVYE,HYEM,AFK,CNY=X,BRL=X,ZAR=X,RUB=X,EUR=X,JPY=X,MXN=X
2011-02-07,,,0.002945508,,,,0.001512532,0.006806028,0.006247669,0.007518797,0.004803416,0.009860789,0.006123059,0.000906454,,,,,,,0.00557569,,,0.004856053,0.010974393,0.00075815,0.00915493,0.000151906,0.002570694,0.011511896,,,,,0.004801921,0.002311248,0.001378676,0.010950855,,0.002393162,-0.002783964,,0.001332268,-0.003510379,0.002829426,,-0.010084342,0.001039141,,-0.008322237,,-0.001902346,-0.002813299,0.004497458,,,,-0.002435065,0,-0.026492448,0.001036556,-0.001627259,0.003542234,0.006981017,0.002672457
2011-02-08,,,0.004405286,,,,0.00021575,0.004345727,0.004818831,0.00443097,0.004957507,0.007036186,0.003413982,-0.004890418,,,,,,,0.007762684,,,0.010010356,-0.001315789,0.010606061,0.034193999,0.011087485,0.005128205,-0.006069803,,,,,0.007566706,0.003074558,0.004130335,0.009511229,,-0.000682128,-0.002791736,,0.000532198,0.003216419,-0.010479645,,0.014632339,-0.003806228,,0.004028197,,0.001270648,0.008720185,-0.004282655,,,,0.008543531,0.000626098,0.002278045,-0.001767224,-0.004430365,-0.00122183,0.000839212,0.001166084
2011-02-09,,,-0.002923977,,,,-0.00064711,-0.008173077,-0.002490086,-0.003482703,-0.002114165,-0.004420362,-0.003550296,0.005278486,,,,,,,0.001100413,,,0.002050581,0.000329381,0,-0.004048583,-0.000525762,-0.006377551,-0.003053435,,,,,-0.003162055,-0.001532567,-0.004113346,-0.004449097,,-0.010580205,-0.019316909,,-0.023138298,-0.004885496,-0.017107943,,-0.027382256,-0.017367141,,0.000334336,,-0.006979695,-0.023646072,-0.016813294,,,,-0.008067769,-0.001236151,0.022482953,-0.005698321,-0.000164058,-0.002582574,0.000170132,0.00391015
2011-02-10,,,-0.007820137,,,,-0.0060436,-0.005816772,0.000462278,0.001164958,0.000529661,0.004010312,0.004750594,-0.003802281,,,,,,,-0.011541632,,,-0.010231924,-0.012512348,-0.00149925,-0.00203252,-0.001653265,-0.005648267,-0.007656968,,,,,-0.004361618,-0.007290867,-0.000458926,-0.010515247,,0.002414626,-0.009991436,,-0.009528995,-0.002454741,-0.020306672,,-0.002252252,-0.008483563,,-0.005681818,,-0.000638978,-0.000520833,-0.009942334,,,,-0.005286702,0.005454962,-0.001501953,0.001460565,-0.00043756,-0.006813846,0.001409426,0.000580094
2011-02-11,,,0.001477833,,,,-0.003040174,0.000487567,0.005822013,0.005352572,0.006881948,0.010841655,0.007535461,0.005452563,,,,,,,0.004170142,,,-0.00206754,0,-0.004504505,-0.008486083,-0.003989462,0.005938549,0.010802469,,,,,0.001194743,0.009277155,0.003213958,0.012221041,,0.002064694,0.010957324,,0.012369434,0.001537988,-0.021573604,,0.023890143,0.009625668,,-0.001008403,,0,0.014851485,0.015063266,,,,0.00572363,-0.000866235,0.001263538,0.009653448,0.002294778,0.008781559,0.011174608,-0.004223952
2011-02-14,,,0.00245942,,,,-0.005445437,0.003411306,0.00229695,0.003472222,0.001752541,0.00508044,0.004839419,-0.001084599,,,,,,,-0.003875969,,,-0.008287293,0.003334445,0.004524887,0.025676138,0.004761185,0.002566735,0.017557252,,,,,0.000795545,-0.006510915,0,-0.004724409,,0.015453297,-0.000570451,,-0.005158838,-0.002457002,-0.007782101,,0.010104722,-0.001412429,,0.004710633,,0,0.003080873,-0.003957262,,,,-0.003252033,0.000806145,-0.029204976,-0.001925987,-0.000498168,0.006800871,0.0012479,0.002079348
2011-02-15,,,-0.004416094,,,,-0.001971091,-0.006799417,-0.003025025,-0.003460208,-0.002624213,-0.00575681,-0.005107998,0.002714441,,,,,,,-0.001111729,,,0,-0.004320372,0.006756757,0.001335113,0.007672057,-0.002304147,-0.004501125,,,,,-0.001589825,-0.001927525,-0.000457666,0.000263713,,-0.006425431,0.001712329,,0.002183406,-0.000307882,0.00130719,,0.00127319,-0.000353607,,-0.003683858,,0.001918159,0.003583312,-0.006952721,,,,0.000815661,0.000835892,0.031569174,0.002177808,-0.000539382,0.002161578,-0.000371507,0.007802125
2011-02-16,,,0.012814194,,,,0.007022164,0.010757946,0.006068408,0.006018519,0.006314682,0.00804971,0.008508141,0.001082837,,,,,,,0.013355593,,,0.019150418,0.005340454,0.001491424,-0.001333333,0.000970366,0.007441622,0.017332329,,,,,0.009156051,0.008497489,0.006410256,0.018191405,,0.012933969,0.009116809,,0.008169935,0.002001848,0.003046127,,0.015803815,0.010611956,,0.011764706,,0.002552648,0.011476664,0.0090018,,,,0.008964955,-0.000592228,0.001260126,0.00634043,0.001400417,-0.001348072,0.003632527,-0.006671059
2011-02-17,,,0.005839416,,,,0.007626934,0.003870343,0.003381466,0.005062126,0.001917378,0.007004763,0.0048,0.002884442,,,,,,,0.003844042,,,0.005807995,0.00498008,0.007446016,0.035714286,0.007009694,0.005603668,0.01037037,,,,,0.006311637,0.009957871,0.004094631,0.003883998,,0.00672043,0.004517222,,0.003511615,0.006147226,0.001301518,,0.005364807,0.003850193,,0.006976744,,0.000636537,0.005799294,0.009912768,,,,0.000807754,-0.000425441,0.000239722,-0.009799232,-0.003803124,-0.005669546,-0.001266186,-0.004394329
2011-02-18,,,-0.000483793,,,,0.000432526,0.002891566,0.002003825,0.00297619,0.001043841,0.001112966,0.00014476,0.001258314,,,,,,,0.004102845,,,0.004755435,0.004294681,0.002217295,0.024492427,0.002739929,0.003292806,0.008797654,,,,,0.002352019,-0.000758438,0.004077934,0.00180552,,0.005006676,0.006183249,,0.006191117,0.002749351,0.018197574,,0.007470651,0.0013947,,0.007588255,,0,0.006016546,0.007459757,,,,0.000807103,-0.000744839,-0.004194128,-0.010186054,0.000838854,-0.00366549,-0.003827293,0.001499001
2011-02-21,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,,0,0,0,,0,0,,0,,0,0,0,,,,0,-0.001247395,-0.028580024,-0.007167359,-0.002815504,-0.006404142,-0.002521311,0.004323965
2011-02-22,,,-0.030009681,,,,0.002810203,-0.031234983,-0.019907281,-0.017804154,-0.024852277,-0.025708727,-0.025908236,0.005385996,,,,,,,-0.029964587,,,-0.038201487,-0.040789474,0.007374631,0.014784523,0.006498781,-0.025498611,-0.03125,,,,,-0.022291748,-0.019734345,-0.017599278,-0.031410917,,-0.010295583,-0.033519553,,-0.032102729,-0.006092917,-0.045106383,,-0.030190678,-0.025069638,,-0.01146038,,-0.001908397,-0.032394717,-0.031371785,,,,-0.052822581,-0.000852943,0.032827501,0.004213483,-0.000470004,0.002331322,-0.000168512,0.003808578
2011-02-23,,,0,,,,0.005173529,0.002480159,-0.00621406,-0.004880316,-0.008019961,-0.017258594,-0.010698366,-0.003035714,,,,,,,0.00196574,,,0.004920914,0.005829904,0.008784773,0.013949163,0.0089515,-0.002849741,-0.015003751,,,,,-0.0004,0.003484321,-0.003215434,-0.005050505,,0.016107383,-0.000867052,,0.001105583,-0.001072797,-0.003565062,,0.008738394,0.001428571,,-0.000993707,,-0.001274697,0.005923255,-0.009656005,,,,0.011919966,0.001387216,0.00191904,-0.00027972,0.004770894,0.00054727,-0.003683818,0.004124051
2011-02-24,,,-0.000499002,,,,0.006433626,-0.007916873,-0.00065329,-0.002568893,0.000718649,0.006531205,0.001051367,0.00035823,,,,,,,0.001961883,,,0.001049318,-0.013978861,-0.007256894,-0.046163253,-0.007490364,0.001558846,0.019040366,,,,,-0.00280112,-0.000385802,0.001843318,-0.001602992,,-0.011228534,0.002314145,,0.002208724,0.001073949,-0.002683363,,0.008301751,0.001426534,,0.000994695,,0.00319081,0,0.001828154,,,,0.001682793,-0.000456691,0.000179565,-0.006351427,-0.003159801,-0.006563654,-0.003890768,-0.004024971
